filted_data_dict 3893 3893
day, prev_pody, prev_HL, prev_body_pct, cur_position_above, cur_position_below, today_profit
2007-12-03 , 1.3029999999999973 , 1.6210000000000093 , 80 , 0 , 156 , -1961.999999999989
2007-12-04 , -1.961999999999989 , 2.5260000000000105 , -77 , 45 , 97 , -1487.9999999999995
2007-12-05 , -1.4879999999999995 , 3.6089999999999804 , -41 , 37 , 19 , 1007.000000000005
2007-12-06 , 1.007000000000005 , 2.0660000000000025 , 48 , 59 , 38 , 990.9999999999854
2007-12-07 , 0.9909999999999854 , 2.0349999999999966 , 48 , 0 , 0 , -6.000000000000227
2007-12-09 , -0.507000000000005 , 0.507000000000005 , -100 , 495 , -4 , 2311.0000000000073
2007-12-10 , 2.311000000000007 , 2.4890000000000043 , 92 , 50 , 147 , -3435.0000000000023
2007-12-11 , -3.4350000000000023 , 4.920999999999992 , -69 , 104 , -1 , 4620.000000000005
2007-12-12 , 4.6200000000000045 , 5.043999999999983 , 91 , 0 , 41 , -558.9999999999975
2007-12-13 , -0.5589999999999975 , 2.1059999999999945 , -26 , 42 , 33 , -525.0000000000057
2007-12-17 , -0.4329999999999927 , 1.593999999999994 , -27 , 49 , 24 , 229.00000000001342
2007-12-18 , 0.22900000000001342 , 1.1820000000000164 , 19 , 12 , 197 , -1806.0000000000116
2007-12-19 , -1.8060000000000116 , 2.48599999999999 , -72 , -7 , 118 , -2205.999999999989
2007-12-20 , -2.205999999999989 , 2.774000000000001 , -79 , 71 , 4 , 1767.0000000000243
2007-12-21 , 1.7670000000000243 , 2.100999999999999 , 84 , 3 , -3 , 69.99999999999318
2007-12-24 , -0.4089999999999918 , 0.7409999999999854 , -55 , 17 , -3 , 28.999999999996362
2007-12-25 , 0.028999999999996362 , 0.09799999999998477 , 29 , 676 , 240 , 609.9999999999852
2007-12-26 , 0.6099999999999852 , 0.8990000000000009 , 67 , 166 , 39 , 158.00000000001546
2007-12-27 , 0.15800000000001546 , 1.8569999999999993 , 8 , 29 , 150 , -2751.999999999981
2008-01-02 , -5.055999999999983 , 5.771000000000015 , -87 , 6 , 60 , -1716.9999999999845
2008-01-03 , -1.7169999999999845 , 3.875 , -44 , 33 , 46 , -1115.9999999999854
2008-01-07 , -0.08499999999997954 , 0.5559999999999832 , -15 , 386 , 85 , -223.0000000000132
2008-01-08 , -0.2230000000000132 , 2.622000000000014 , -8 , 58 , 35 , 639.9999999999864
2008-01-09 , 0.6399999999999864 , 2.4799999999999898 , 25 , 13 , 73 , -1020.0000000000102
2008-01-10 , -1.0200000000000102 , 2.1499999999999773 , -47 , 30 , 107 , -1504.9999999999955
2008-01-13 , -0.28000000000000114 , 0.28000000000000114 , -100 , 264 , 666 , -1139.9999999999864
2008-01-14 , -1.1399999999999864 , 2.6049999999999898 , -43 , 14 , 83 , -1959.9999999999795
2008-01-15 , -1.9599999999999795 , 2.5349999999999966 , -77 , 91 , 98 , 1760.0000000000193
2008-01-16 , 1.7600000000000193 , 4.799999999999983 , 36 , 22 , 32 , -1250.0
2008-01-17 , -1.25 , 2.6499999999999773 , -47 , 55 , 64 , -1090.0000000000034
2008-01-18 , -1.0900000000000034 , 3.180000000000007 , -34 , 0 , 0 , 0.0
2008-01-20 , -0.03999999999999204 , 0.03999999999999204 , -100 , 1025 , 7937 , -2969.999999999999
2008-01-21 , -2.969999999999999 , 3.585000000000008 , -82 , 109 , 32 , 2719.999999999999
2008-01-22 , 2.719999999999999 , 5.060000000000002 , 53 , 35 , 76 , -39.99999999999204
2008-01-23 , -0.03999999999999204 , 5.640000000000015 , 0 , 56 , 25 , 3179.999999999978
2008-01-24 , 3.1799999999999784 , 4.640000000000015 , 68 , 45 , 11 , -159.9999999999966
2008-01-25 , -0.1599999999999966 , 2.6500000000000057 , -6 , 0 , 0 , 0.0
2008-01-27 , 0.1599999999999966 , 0.1599999999999966 , 100 , 518 , 1462 , 289.99999999999204
2008-01-28 , 0.28999999999999204 , 3.1699999999999875 , 9 , 34 , 33 , 979.9999999999898
2008-01-29 , 0.9799999999999898 , 2.1500000000000057 , 45 , 26 , 94 , -2039.999999999992
2008-01-30 , -2.039999999999992 , 2.6100000000000136 , -78 , 54 , 32 , 560.0000000000023
2008-01-31 , 0.5600000000000023 , 2.280000000000001 , 24 , 32 , 115 , -2259.999999999991
2008-02-01 , -2.259999999999991 , 3.3799999999999955 , -66 , 4 , -4 , 150.00000000000568
2008-02-03 , -0.030000000000001137 , 0.030000000000001137 , -100 , 7833 , 300 , 1179.9999999999784
2008-02-04 , 1.1799999999999784 , 2.4399999999999977 , 48 , 58 , 40 , -680.0000000000068
2008-02-05 , -0.6800000000000068 , 2.430000000000007 , -27 , 1 , 81 , -911.0000000000014
2008-02-06 , -0.9110000000000014 , 2.0270000000000152 , -44 , 13 , 146 , -228.00000000000864
2008-02-07 , -0.22800000000000864 , 3.2439999999999998 , -7 , 32 , 13 , 117.999999999995
2008-02-10 , -0.030000000000001137 , 0.036000000000001364 , -83 , 1822 , 5522 , -165.00000000002046
2008-02-11 , -0.16500000000002046 , 2.643999999999977 , -6 , 85 , 27 , 1607.9999999999757
2008-02-12 , 1.6079999999999757 , 2.984000000000009 , 53 , 83 , 27 , 2357.9999999999754
2008-02-13 , 2.3579999999999757 , 3.3009999999999877 , 71 , 33 , 19 , -268.99999999997704
2008-02-14 , -0.26899999999997704 , 1.7659999999999911 , -15 , 49 , 103 , -933.9999999999975
2008-02-18 , 0.24699999999998568 , 1.0609999999999786 , 23 , -1 , 228 , -1307.9999999999927
2008-02-19 , -1.3079999999999927 , 2.4139999999999873 , -54 , 37 , 33 , -67.00000000000728
2008-02-20 , -0.06700000000000728 , 1.7009999999999934 , -3 , 113 , 10 , 869.9999999999761
2008-02-21 , 0.8699999999999761 , 2.11099999999999 , 41 , 32 , 29 , -14.000000000010004
2008-02-25 , 1.204999999999984 , 2.1310000000000002 , 56 , 29 , 32 , 614.9999999999807
2008-02-26 , 0.6149999999999807 , 1.3130000000000166 , 46 , 23 , 192 , -2171.9999999999973
